Category Code;Category Title;Template;Order Rules;Low Score;High Score;Subject;Rating;Icon;Title Icon;Sequel;Course
101;Letter Introduction 1 (s, a, t, p);R1;4;5.48;3.76;L;1000;Letters;Letter Introduction;0;en_lit
102;Listening 1;P1;;5.48;3.76;L;1010;Listening;Listening;1;en_lit
103;Sound Introduction 1 (s, a, t, p);R1;4;6.7;4.63;L;1020;Letters;Sound Introduction;1;en_lit
104;Letter Introduction 2 (n, i , m, d);R1;4;5.48;3.76;L;1030;Letters;Letter Introduction;2;en_lit
105;Blending 1;R1;;5.48;3.76;L;1040;Blending;Blending;1;en_lit
106;Sound Introduction 2 (d, i, m, n);R1;4;6.7;4.63;L;1050;Letters;Sound Introduction;2;en_lit
107;Word Introduction 1;R1;;4.63;3.34;L;1060;Fluency;Word Introduction;1;en_lit
108;Letter Introduction 3 (g, o, c, k);R1;4;4.3;3.01;L;1070;Letters;Letter Introduction;3;en_lit
109;Vocabulary 1;P1;;4.63;3.34;L;1080;Definitions;Vocabulary;1;en_lit
110;Sound Introduction 3 (g, k);R1;2;5.48;3.76;L;1090;Letters;Sound Introduction;3;en_lit
111;Letter Introduction 4 (e, u, r);R1;3;4.3;3.01;L;1100;Letters;Letter Introduction;4;en_lit
112;Blending 2;R1;;6.03;4.01;L;1110;Blending;Blending;2;en_lit
113;Sound Introduction 4 (e, r, u);R1;3;5.48;3.76;L;1120;Letters;Sound Introduction;4;en_lit
114;Word Introduction 2;R1;;4.63;3.34;L;1130;Fluency;Word Introduction;2;en_lit
115;Letter Introduction 5 (h, b, f, l);R1;4;4.3;3.01;L;1140;Letters;Letter Introduction;5;en_lit
116;Blending 3;R1;;5.48;3.76;L;1150;Blending;Blending;3;en_lit
117;Sound Introduction 5 (h, b, f, l);R1;4;6.7;4.63;L;1160;Letters;Sound Introduction;5;en_lit
118;Word Introduction 3;R1;;4.3;3.01;L;1170;Fluency;Word Introduction;3;en_lit
119;Letter Introduction 6 (j, v, w, x);R1;4;4.3;3.01;L;1180;Letters;Letter Introduction;6;en_lit
120;Sound Introduction 6 (h, b, f, l);R1;3;6.7;4.63;L;1190;Letters;Sound Introduction;6;en_lit
121;Letter Introduction 7 (y, z, q);R1;3;4.3;3.01;L;1200;Letters;Letter Introduction;7;en_lit
122;Word Introduction 4;R1;;3.76;2.73;L;1210;Fluency;Word Introduction;4;en_lit
123;Sound Introduction 7 (y, z, qu);R1;2;5.48;3.76;L;1220;Letters;Sound Introduction;7;en_lit
124;Blending 4;R1;;4.63;3.34;L;1230;Blending;Blending;4;en_lit
125;High Frequency Words 1;R1;;3.76;2.73;L;1240;Fluency;High Frequency;1;en_lit
126;Sound Introduction 8 (ch, sh, th);R1;3;5.48;3.76;L;1250;Letters;Sound Introduction;8;en_lit
127;Isolating and pronouncing sounds;R1;;5.48;3.76;L;1260;Blending;Isolating and pronouncing;9;en_lit
128;Sound Introduction 9 (ng, ai);R1;2;6.03;4.01;L;1270;Letters;Sound Introduction;9;en_lit
129;Sound Introduction 10 (ee, igh, oa);R1;3;6.03;4.01;L;1280;Letters;Sound Introduction;10;en_lit
130;Sound Introduction 11 (oo, ar, or);R1;3;6.03;4.01;L;1290;Letters;Sound Introduction;11;en_lit
131;Word Families 1;R1;;4.63;3.34;L;1300;Blending;Word Families;1;en_lit
132;Listening 2;P1;;6.03;4.01;L;1310;Listening;Listening;2;en_lit
133;Sound Introduction 12 (ur, ow, oi);R1;3;6.03;4.01;L;1320;Letters;Sound Introduction;12;en_lit
134;Sound Introduction 13 (ear, air, ure);R1;3;6.03;4.01;L;1330;Letters;Sound Introduction;13;en_lit
135;Vocabulary 2;P1;;4.63;3.34;L;1340;Definitions;Vocabulary;2;en_lit
136;Word Families 2;R1;;4.3;3.01;L;1350;Blending;Word Families;2;en_lit
137;Vocabulary 3;P1;;4.63;3.34;L;1360;Definitions;Vocabulary;3;en_lit
